tokens,tf,tf_mean,df,idf,tf_idfs,tf_idf_mean
intenção,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
internacional,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
isso,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
janeiro,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
jovem,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
julho,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
lenha,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
lobectomia,"[0.0, 0.015544, 0.0]",0.005181,3,0.75,"[0.0, 0.011658, 0.0]",0.003886
local,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
localmente,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
magnitude,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
maioria,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
mal,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
maligna,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
mediana,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
melhorar,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
mesmo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
metastática,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
milhão,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
modelo,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
mortalidade,"[0.026627, 0.010363, 0.0]",0.01233,11,0.25,"[0.006657, 0.002591, 0.0]",0.003083
morte,"[0.026627, 0.0, 0.0]",0.008876,9,0.3,"[0.007988, 0.0, 0.0]",0.002663
mostrar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
mostraram,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
motivo,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
mulher,"[0.023669, 0.0, 0.0]",0.00789,8,0.333333,"[0.00789, 0.0, 0.0]",0.00263
mundo,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
máximo,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
média,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
médio,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
nacional,"[0.008876, 0.0, 0.004854]",0.004577,4,0.6,"[0.005326, 0.0, 0.002912]",0.002746
neoplasia,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
nordeste,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
norte,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
novo,"[0.005917, 0.005181, 0.0]",0.003699,3,0.75,"[0.004438, 0.003886, 0.0]",0.002775
número,"[0.002959, 0.020725, 0.0]",0.007895,5,0.5,"[0.00148, 0.010362, 0.0]",0.003947
observar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
ocorrer,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
of,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
oferecer,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
oncológico,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
outro,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
paciente,"[0.002959, 0.025907, 0.019417]",0.016094,10,0.272727,"[0.000807, 0.007066, 0.005296]",0.00439
padronizada,"[0.008876, 0.0, 0.0]",0.002959,3,0.75,"[0.006657, 0.0, 0.0]",0.002219
papel,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
parecer,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
participante,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
participar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
passo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
país,"[0.011834, 0.010363, 0.009709]",0.010635,8,0.333333,"[0.003945, 0.003454, 0.003236]",0.003545
pequeno,"[0.0, 0.020725, 0.009709]",0.010145,6,0.428571,"[0.0, 0.008882, 0.004161]",0.004348
performance,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
período,"[0.002959, 0.0, 0.014563]",0.005841,4,0.6,"[0.001775, 0.0, 0.008738]",0.003504
pesquisa,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
poder,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
