,names,precision,recall,split,merge
0,01_isodata.png,0.9999148199152068,1.0,0.06377265912953328,0.04328673497758387
1,02_isodata.png,0.9998536749541684,1.0,0.06005138030583243,0.04068042800992411
2,03_isodata.png,0.9977223323139507,1.0,0.07784603430249809,0.05805825474740184
3,04_isodata.png,0.9994535581725587,1.0,0.054183035342347384,0.0397828298399304
4,05_isodata.png,0.9990622657658521,1.0,0.05708207520935138,0.038538145344769785
5,06_isodata.png,0.9662749631644565,1.0,0.04112465874835715,0.02709121958890874
6,07_isodata.png,0.9941267457057316,1.0,0.03998873899609498,0.021737112656319935
7,08_isodata.png,1.0,1.0,0.04594373200183355,0.02757854484150666
8,09_isodata.png,0.9991831019957689,1.0,0.03689423365219746,0.018138768066816177
9,10_isodata.png,0.99788732614843,1.0,0.028923736805413804,0.014217402436323523
10,11_isodata.png,0.9927414750303217,1.0,0.032059536106399,0.016792215631166497
11,12_isodata.png,0.964418042897632,1.0,0.0835402798265675,0.06048472167455164
12,13_isodata.png,0.5768585143818394,1.0,0.04891957155196206,0.07792293047466105
13,14_isodata.png,0.7963701116077995,1.0,0.12574340154860625,0.15379566599606387
14,15_isodata.png,0.9991928976032103,1.0,0.03763554020063368,0.01662478344442234
15,16_isodata.png,0.993529042750038,1.0,0.06370825922302811,0.04748151817395241
16,17_isodata.png,0.9991375354537977,1.0,0.06366682449791781,0.04384099695149886
17,18_isodata.png,0.9998376438889602,1.0,0.05616710143335176,0.03723420519533887
18,19_isodata.png,1.0,1.0,0.0516310417738693,0.029996336758256956
19,20_isodata.png,0.9996378779758363,1.0,0.07710936603856333,0.051824795407738856
