,tokens,tf,tf_mean,df,idf,tf_idfs,tf_idf_mean
142,global,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
143,grande,"[0.011834, 0.010363, 0.009709]",0.010635,8,0.333333,"[0.003945, 0.003454, 0.003236]",0.003545
144,habitante,"[0.02071, 0.005181, 0.0]",0.00863,8,0.333333,"[0.006903, 0.001727, 0.0]",0.002877
145,histologia,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
146,histológico,"[0.0, 0.0, 0.014563]",0.004854,3,0.75,"[0.0, 0.0, 0.010922]",0.003641
147,homem,"[0.023669, 0.0, 0.0]",0.00789,8,0.333333,"[0.00789, 0.0, 0.0]",0.00263
148,idade,"[0.023669, 0.005181, 0.0]",0.009617,9,0.3,"[0.007101, 0.001554, 0.0]",0.002885
149,igual,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
150,importante,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
151,imposto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
152,inca,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
153,incidência,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
154,incluíram,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
155,indicar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
156,influenciar,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
157,informática,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
158,instituição,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
159,instituto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
160,intenção,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
161,internacional,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
162,isso,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
163,janeiro,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
164,jovem,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
165,julho,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
166,lenha,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
167,lobectomia,"[0.0, 0.015544, 0.0]",0.005181,3,0.75,"[0.0, 0.011658, 0.0]",0.003886
168,local,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
169,localmente,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
170,magnitude,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
171,maioria,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
172,mal,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
173,maligna,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
174,mediana,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
175,melhorar,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
176,mesmo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
177,metastática,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
178,milhão,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
179,modelo,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
180,mortalidade,"[0.026627, 0.010363, 0.0]",0.01233,11,0.25,"[0.006657, 0.002591, 0.0]",0.003083
181,morte,"[0.026627, 0.0, 0.0]",0.008876,9,0.3,"[0.007988, 0.0, 0.0]",0.002663
182,mostrar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
183,mostraram,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
184,motivo,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
185,mulher,"[0.023669, 0.0, 0.0]",0.00789,8,0.333333,"[0.00789, 0.0, 0.0]",0.00263
186,mundo,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
187,máximo,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
188,média,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
189,médio,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
190,nacional,"[0.008876, 0.0, 0.004854]",0.004577,4,0.6,"[0.005326, 0.0, 0.002912]",0.002746
191,neoplasia,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
192,nordeste,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
193,norte,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
194,novo,"[0.005917, 0.005181, 0.0]",0.003699,3,0.75,"[0.004438, 0.003886, 0.0]",0.002775
195,número,"[0.002959, 0.020725, 0.0]",0.007895,5,0.5,"[0.00148, 0.010362, 0.0]",0.003947
196,observar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
197,ocorrer,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
198,of,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
199,oferecer,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
200,oncológico,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
201,outro,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
202,paciente,"[0.002959, 0.025907, 0.019417]",0.016094,10,0.272727,"[0.000807, 0.007066, 0.005296]",0.00439
203,padronizada,"[0.008876, 0.0, 0.0]",0.002959,3,0.75,"[0.006657, 0.0, 0.0]",0.002219
204,papel,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
205,parecer,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
206,participante,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
207,participar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
208,passo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
209,país,"[0.011834, 0.010363, 0.009709]",0.010635,8,0.333333,"[0.003945, 0.003454, 0.003236]",0.003545
210,pequeno,"[0.0, 0.020725, 0.009709]",0.010145,6,0.428571,"[0.0, 0.008882, 0.004161]",0.004348
211,performance,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
212,período,"[0.002959, 0.0, 0.014563]",0.005841,4,0.6,"[0.001775, 0.0, 0.008738]",0.003504
213,pesquisa,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
214,poder,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
215,político,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
216,ponto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
217,população,"[0.005917, 0.005181, 0.0]",0.003699,3,0.75,"[0.004438, 0.003886, 0.0]",0.002775
218,porcentagem,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
219,portanto,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
220,possibilidade,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
221,possível,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
222,pouco,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
223,povoada,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
224,predomina,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
225,preocupação,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
226,presente,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
227,presença,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
228,prevalente,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
229,prevalência,"[0.011834, 0.0, 0.009709]",0.007181,6,0.428571,"[0.005072, 0.0, 0.004161]",0.003078
230,primária,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
231,principal,"[0.008876, 0.0, 0.0]",0.002959,3,0.75,"[0.006657, 0.0, 0.0]",0.002219
232,privado,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
233,privar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
234,probabilidade,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
235,procedimento,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
