,name,axis_major_length,axis_minor_length,area
0,021_canny.png,301.4755574250545,102.64110109174247,23951
1,022_canny.png,320.5901492185984,100.81861084674145,24900
2,023_canny.png,278.5112101982057,162.81968387500362,35016
3,024_canny.png,276.9442700754353,131.76136283691986,28306
4,025_canny.png,276.66141235314615,140.46056508193226,30099
5,026_canny.png,298.9192416266766,146.52170229364035,33553
6,027_canny.png,286.7914514503736,134.68057772761193,29513
7,028_canny.png,211.3690548376447,178.35431076644534,29100
8,029_canny.png,254.17335422485024,230.12744399801144,45100
9,030_canny.png,250.73227118710986,208.98384272510597,39787
10,031_canny.png,240.1319739688362,218.09225023392855,40064
11,032_canny.png,339.95299799156595,282.6408713774889,54068
12,033_canny.png,396.92868252313696,340.1862952140018,77044
13,034_canny.png,354.80105082044383,321.7008329193615,66995
14,035_canny.png,334.3962045195202,285.60194570659115,58425
15,036_canny.png,233.56541184475807,213.49768728832785,34654
16,037_canny.png,87.99146657471077,43.95120657498235,2990
17,038_canny.png,77.91253003065395,42.68521358912758,2579
18,039_canny.png,88.56305909374221,45.936105521724144,3157
19,040_canny.png,299.6490808493557,116.9620370566549,27457
20,041_canny.png,295.53872175710603,113.1783350144052,25475
21,042_canny.png,345.95912382387843,305.0857024848419,78021
22,044_canny.png,337.27934957834054,144.7458712972262,37541
23,046_canny.png,175.80945046706768,103.69087756570102,14066
24,048_canny.png,163.3084589100212,99.575081614718,12559
25,050_canny.png,155.07303529488382,75.11814604401154,8945
26,052_canny.png,298.87220982789825,131.1550564355338,30239
27,054_canny.png,288.17969517151533,129.84150136079344,28441
28,056_canny.png,235.41869006913316,101.56477223067509,18353
29,058_canny.png,354.5599383309357,153.35901897196635,41988
30,060_canny.png,287.76176211363236,181.26294566596627,40824
31,062_canny.png,291.5879391577025,119.11748775184276,26493
32,064_canny.png,507.8750961279573,458.91913793986413,175609
33,066_canny.png,507.4899460853466,450.65373246930756,172370
34,068_canny.png,252.27709432425826,177.19185481985937,34965
35,070_canny.png,350.674502491712,127.03595675738883,34063
36,072_canny.png,472.6835269850626,412.97969435139856,148675
37,074_canny.png,529.4217452162856,278.9143501461669,112797
38,076_canny.png,433.45712841091535,230.90609415269367,76074
39,078_canny.png,419.1660640211094,190.4387457523239,60614
40,080_canny.png,394.6881390876005,179.17956205304762,53770
41,082_canny.png,172.8901620628052,136.84135985923945,18280
42,084_canny.png,450.5375581027114,229.87470085078738,78429
43,086_canny.png,318.8366310175457,137.45205640635717,33317
44,088_canny.png,231.40784736812674,131.32486016282695,20359
45,090_canny.png,433.4697664789904,195.27796085778766,63536
46,092_canny.png,223.38947626309354,154.8188732954171,25801
47,094_canny.png,177.91995681053595,120.77147714701097,15218
48,096_canny.png,452.8788248352192,230.30499141188915,78605
49,098_canny.png,191.53143281432293,85.95871570025102,12017
50,100_canny.png,438.8438614421378,220.69245704884338,73276
51,101_canny.png,324.1830697420943,105.29022057576658,25667
52,102_canny.png,212.3585037957666,111.52358346353877,17579
53,103_canny.png,379.2906614008396,146.7237286436593,42852
54,104_canny.png,409.21787744108553,180.9300136486941,56048
55,106_canny.png,214.6314017677128,163.92279888968733,27377
56,107_canny.png,216.89602933410697,166.4357271520544,28092
57,108_canny.png,242.73001785654955,126.24597688292842,22008
58,109_canny.png,483.92296864490083,454.111867133701,166604
59,111_canny.png,325.90839946004894,150.05458023057514,37486
60,112_canny.png,337.3641928725348,175.07353997839468,8163
61,113_canny.png,310.9150764405099,142.78994335111545,34323
62,114_canny.png,217.40503215708983,102.52423195933581,17029
63,116_canny.png,180.85552707938712,144.98986958871015,20294
64,118_canny.png,263.21720696788657,150.75417822784127,30261
65,120_canny.png,248.3714233317601,86.46608087190958,15152
66,122_canny.png,215.12843556348466,178.30824220190686,29858
67,124_canny.png,154.70842772783487,83.97674157099114,9779
68,130_canny.png,302.1991257078046,176.7971725738789,41448
69,132_canny.png,382.25619395453975,145.05037739944044,42696
70,134_canny.png,292.79222650205156,145.05216843298638,32392
71,136_canny.png,342.61370239793115,216.88591786435663,58171
72,138_canny.png,259.56927083168694,172.06322486639985,35031
73,140_canny.png,234.7497938501636,154.5980085363241,28268
74,142_canny.png,296.1992153969701,215.79467985327807,50031
75,144_canny.png,293.4359566915405,187.71567743862587,42961
76,146_canny.png,572.2380969810678,316.7783200405515,141119
77,148_canny.png,774.6799801731481,375.19741639042974,226918
78,150_canny.png,769.887736109343,380.08533299302667,228727
79,152_canny.png,50.395420451183526,7.7959316016406355,270
80,154_canny.png,300.46446530066834,141.20512860235138,32393
81,156_canny.png,267.14402405595405,112.81950630091741,21240
82,158_canny.png,249.89018254884638,112.70267599419196,21424
